NomeTime,NomeAtleta,Numero,Matricula
Alta Floresta,Leonardo Oliveira,1,202424843
Alta Floresta,Pedro Martins,2,202953910
Alta Floresta,Renan Silva,3,202595835
Alta Floresta,Pedro Souza,4,202787190
Alta Floresta,Eduardo Alves,5,202786713
Alta Floresta,Rafael Silva,6,202129061
Alta Floresta,Marcos Ribeiro,7,202414576
Alta Floresta,Vitor Costa,8,202893945
Alta Floresta,Rodrigo Ferreira,9,202466978
Alta Floresta,Rafael Gomes,10,202745675
Alta Floresta,Renan Costa,11,202440501
Alta Floresta,Marcos Silva,12,202275181
Barra do Garças,Enzo Pereira,1,202830498
Barra do Garças,Carlos Rodrigues,2,202655707
Barra do Garças,Carlos Oliveira,3,202721789
Barra do Garças,Vitor Santos,4,202542543
Barra do Garças,Breno Gomes,5,202221521
Barra do Garças,Diego Martins,6,202529771
Barra do Garças,Leonardo Martins,7,202247563
Barra do Garças,João Ribeiro,8,202841743
Barra do Garças,Rodrigo Ferreira,9,202502445
Barra do Garças,Matheus Silva,10,202810512
Barra do Garças,Guilherme Rodrigues,11,202790540
Barra do Garças,Diego Alves,12,202811806
Cáceres,João Pereira,1,202468555
Cáceres,Leonardo Ferreira,2,202497497
Cáceres,Felipe Lima,3,202572497
Cáceres,Victor Oliveira,4,202154710
Cáceres,Renan Oliveira,5,202501767
Cáceres,Diego Ferreira,6,202200475
Cáceres,Rodrigo Martins,7,202995578
Cáceres,Caio Silva,8,202551679
Cáceres,Victor Santos,9,202858044
Cáceres,Vitor Pereira,10,202997589
Cáceres,Igor Carvalho,11,202773843
Cáceres,Felipe Silva,12,202870579
Campo Novo do Parecis,Lucas Martins,1,202253591
Campo Novo do Parecis,Pedro Almeida,2,202156235
Campo Novo do Parecis,Felipe Santos,3,202307043
Campo Novo do Parecis,Daniel Martins,4,202417311
Campo Novo do Parecis,Breno Lima,5,202942617
Campo Novo do Parecis,Enzo Gomes,6,202704777
Campo Novo do Parecis,Renan Carvalho,7,202911882
Campo Novo do Parecis,Leonardo Souza,8,202877649
Campo Novo do Parecis,Marcelo Rodrigues,9,202610301
Campo Novo do Parecis,Marcos Costa,10,202680510
Campo Novo do Parecis,Marcos Almeida,11,202944014
Campo Novo do Parecis,Leonardo Gomes,12,202164277
Confresa,Marcos Gomes,1,202440868
Confresa,Eduardo Silva,2,202319110
Confresa,Leonardo Ribeiro,3,202820023
Confresa,Carlos Pereira,4,202871039
Confresa,Lucas Lima,5,202887037
Confresa,Eduardo Santos,6,202840826
Confresa,Rodrigo Ribeiro,7,202416141
Confresa,Eduardo Martins,8,202173571
Confresa,João Ferreira,9,202942142
Confresa,Pedro Santos,10,202299134
Confresa,Enzo Pereira,11,202960561
Confresa,Marcelo Lima,12,202563080
Cuiabá - Octayde Jorge da Silva,Renan Rodrigues,1,202869880
Cuiabá - Octayde Jorge da Silva,Pedro Ribeiro,2,202383313
Cuiabá - Octayde Jorge da Silva,Rodrigo Pereira,3,202743478
Cuiabá - Octayde Jorge da Silva,Vitor Pereira,4,202684591
Cuiabá - Octayde Jorge da Silva,Thiago Costa,5,202237107
Cuiabá - Octayde Jorge da Silva,Thiago Ribeiro,6,202585837
Cuiabá - Octayde Jorge da Silva,Marcos Pereira,7,202877582
Cuiabá - Octayde Jorge da Silva,Matheus Ferreira,8,202217561
Cuiabá - Octayde Jorge da Silva,Arthur Pereira,9,202863233
Cuiabá - Octayde Jorge da Silva,João Souza,10,202904865
Cuiabá - Octayde Jorge da Silva,Enzo Martins,11,202333974
Cuiabá - Octayde Jorge da Silva,Renan Santos,12,202335205
