Time,Funcao,Nome,Camisa,Matricula
Alta Floresta,Chefe de Delegação,Marcos Almeida,,202997862
Alta Floresta,Jogador,Leonardo Oliveira,1,202424843
Alta Floresta,Jogador,Pedro Martins,2,202953910
Alta Floresta,Jogador,Renan Silva,3,202595835
Alta Floresta,Jogador,Pedro Souza,4,202787190
Alta Floresta,Jogador,Eduardo Alves,5,202786713
Alta Floresta,Jogador,Rafael Silva,6,202129061
Alta Floresta,Jogador,Marcos Ribeiro,7,202414576
Alta Floresta,Jogador,Vitor Costa,8,202893945
Alta Floresta,Jogador,Rodrigo Ferreira,9,202466978
Alta Floresta,Jogador,Rafael Gomes,10,202745675
Alta Floresta,Jogador,Renan Costa,11,202440501
Alta Floresta,Jogador,Marcos Silva,12,202275181
Barra do Garças,Chefe de Delegação,Rodrigo Oliveira,,202210851
Barra do Garças,Jogador,Enzo Pereira,1,202830498
Barra do Garças,Jogador,Carlos Rodrigues,2,202655707
Barra do Garças,Jogador,Carlos Oliveira,3,202721789
Barra do Garças,Jogador,Vitor Santos,4,202542543
Barra do Garças,Jogador,Breno Gomes,5,202221521
Barra do Garças,Jogador,Diego Martins,6,202529771
Barra do Garças,Jogador,Leonardo Martins,7,202247563
Barra do Garças,Jogador,João Ribeiro,8,202841743
Barra do Garças,Jogador,Rodrigo Ferreira,9,202502445
Barra do Garças,Jogador,Matheus Silva,10,202810512
Barra do Garças,Jogador,Guilherme Rodrigues,11,202790540
Barra do Garças,Jogador,Diego Alves,12,202811806
Cáceres,Chefe de Delegação,Eduardo Ribeiro,,202105044
Cáceres,Jogador,João Pereira,1,202468555
Cáceres,Jogador,Leonardo Ferreira,2,202497497
Cáceres,Jogador,Felipe Lima,3,202572497
Cáceres,Jogador,Victor Oliveira,4,202154710
Cáceres,Jogador,Renan Oliveira,5,202501767
Cáceres,Jogador,Diego Ferreira,6,202200475
Cáceres,Jogador,Rodrigo Martins,7,202995578
Cáceres,Jogador,Caio Silva,8,202551679
Cáceres,Jogador,Victor Santos,9,202858044
Cáceres,Jogador,Vitor Pereira,10,202997589
Cáceres,Jogador,Igor Carvalho,11,202773843
Cáceres,Jogador,Felipe Silva,12,202870579
Campo Novo do Parecis,Chefe de Delegação,Pedro Almeida,,202254869
Campo Novo do Parecis,Jogador,Lucas Martins,1,202253591
Campo Novo do Parecis,Jogador,Pedro Almeida,2,202156235
Campo Novo do Parecis,Jogador,Felipe Santos,3,202307043
Campo Novo do Parecis,Jogador,Daniel Martins,4,202417311
Campo Novo do Parecis,Jogador,Breno Lima,5,202942617
Campo Novo do Parecis,Jogador,Enzo Gomes,6,202704777
Campo Novo do Parecis,Jogador,Renan Carvalho,7,202911882
Campo Novo do Parecis,Jogador,Leonardo Souza,8,202877649
Campo Novo do Parecis,Jogador,Marcelo Rodrigues,9,202610301
Campo Novo do Parecis,Jogador,Marcos Costa,10,202680510
Campo Novo do Parecis,Jogador,Marcos Almeida,11,202944014
Campo Novo do Parecis,Jogador,Leonardo Gomes,12,202164277
Confresa,Chefe de Delegação,Victor Martins,,202196468
Confresa,Jogador,Marcos Gomes,1,202440868
Confresa,Jogador,Eduardo Silva,2,202319110
Confresa,Jogador,Leonardo Ribeiro,3,202820023
Confresa,Jogador,Carlos Pereira,4,202871039
Confresa,Jogador,Lucas Lima,5,202887037
Confresa,Jogador,Eduardo Santos,6,202840826
Confresa,Jogador,Rodrigo Ribeiro,7,202416141
Confresa,Jogador,Eduardo Martins,8,202173571
Confresa,Jogador,João Ferreira,9,202942142
Confresa,Jogador,Pedro Santos,10,202299134
Confresa,Jogador,Enzo Pereira,11,202960561
Confresa,Jogador,Marcelo Lima,12,202563080
Cuiabá - Octayde Jorge da Silva,Chefe de Delegação,Victor Carvalho,,202166783
Cuiabá - Octayde Jorge da Silva,Jogador,Renan Rodrigues,1,202869880
Cuiabá - Octayde Jorge da Silva,Jogador,Pedro Ribeiro,2,202383313
Cuiabá - Octayde Jorge da Silva,Jogador,Rodrigo Pereira,3,202743478
Cuiabá - Octayde Jorge da Silva,Jogador,Vitor Pereira,4,202684591
Cuiabá - Octayde Jorge da Silva,Jogador,Thiago Costa,5,202237107
Cuiabá - Octayde Jorge da Silva,Jogador,Thiago Ribeiro,6,202585837
Cuiabá - Octayde Jorge da Silva,Jogador,Marcos Pereira,7,202877582
Cuiabá - Octayde Jorge da Silva,Jogador,Matheus Ferreira,8,202217561
Cuiabá - Octayde Jorge da Silva,Jogador,Arthur Pereira,9,202863233
Cuiabá - Octayde Jorge da Silva,Jogador,João Souza,10,202904865
Cuiabá - Octayde Jorge da Silva,Jogador,Enzo Martins,11,202333974
Cuiabá - Octayde Jorge da Silva,Jogador,Renan Santos,12,202335205
